rc_index_no,rc_book,rc_continent,rc_patria_original,rc_patria,rc_list_number_original,rc_list_number,weber_list_no,pp_page,schnetz_page,rc_toponym,weber_look_up_key,weber_no,tp_name_weber,tp_alt_name_weber,talbert_gridsquare,talbert_id,rc_name_weber,rc_name,rc_uri,rc_page,rc_itinerary,rc_itin_no,ku_id,on_tp,pleiades_id,ku_gridsquare,ku_name_lookup,talbert_name_lookup,pleiades_name_lookup,ku_uri_lookup,talbert_uri_lookup,pleiades_uri_lookup,rep_lat,rep_long,ku_x,ku_y,region_id,region,primary_source,other_sources
31,2,Asia,India Dimirica Evilat,India Dimirica Evilat,1a,1a,1,42,15,Agaris,1 Agaris,,,,,,,,,,,,0,FALSE,,,,,,,,,,,,,2.1,India Dimirica Evilat,Castorius (Roman),-
32,2,Asia,India Dimirica Evilat,India Dimirica Evilat,1a,1a,1,42,15,Blinca,1 Blinca,450,Blinca,Blınca. ,R. Talbert: * 11C5 ,2801,II1 Blinca,Blinca,"<a href=""sources.html?pars=2&amp;typ=rc#c1""",2,c1,1,1950,TRUE,/, 11C5,Blinca,Blinca,,https://tp-online.ku.de/trefferanzeige_en.php?id=1950,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace2801.html,,0,0,0.605857667,-0.026404752,2.1,India Dimirica Evilat,Castorius (Roman),-
33,2,Asia,India Dimirica Evilat,India Dimirica Evilat,1a,1a,1,42,15,Coziara,1 Coziara,695,Cotiara,Coтıara. ,R. Talbert: * 11C5 ,2800,II1 Coziara,Coziara,"<a href=""sources.html?pars=2&amp;typ=rc#c1""",2,c1,1,1949,TRUE,50080, 11C5,Cotiara,Cotiara,Kottiara,https://tp-online.ku.de/trefferanzeige_en.php?id=1949,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace2800.html,https://pleiades.stoa.org/places/50080,8.991778,76.777701,0.606234031,-0.025182436,2.1,India Dimirica Evilat,Castorius (Roman),-
34,2,Asia,India Dimirica Evilat,India Dimirica Evilat,1a,1a,1,42,15,Cotiziaris,1 Cotiziaris,,,,,,,,,,,,0,FALSE,,,,,,,,,,,,,2.1,India Dimirica Evilat,Castorius (Roman),-
35,2,Asia,India Dimirica Evilat,India Dimirica Evilat,1a,1a,1,42,15,Claminia,1 Claminia,,,,,,,,,,,,0,FALSE,,,,,,,,,,,,,2.1,India Dimirica Evilat,Castorius (Roman),-
36,2,Asia,India Dimirica Evilat,India Dimirica Evilat,1a,1a,1,42,15,Maziris,1 Maziris,1307,Muziris,ᴍvᴢıʀıſ. ,R. Talbert: Mvziris 11C5 ,2798,II1 Maziris,Maziris,"<a href=""sources.html?pars=2&amp;typ=rc#c1""",2,c1,1,1945,TRUE,50146, 11C5,Mvziris (Muziris),Mvziris,Muziris,https://tp-online.ku.de/trefferanzeige_en.php?id=1945,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace2798.html,https://pleiades.stoa.org/places/50146,10.153976,76.213146,0.602445178,-0.026688201,2.1,India Dimirica Evilat,Castorius (Roman),-
37,2,Asia,India Dimirica Evilat,India Dimirica Evilat,1a,1a,1,42,16,Ceta,1 Ceta,,,,,,,,,,,,0,FALSE,,,,,,,,,,,,,2.1,India Dimirica Evilat,Castorius (Roman),-
38,2,Asia,India Dimirica Evilat,India Dimirica Evilat,1a,1a,1,42,16,Elima,1 Elima,791,Elymaide,Еlу мaıᴅe.,R. Talbert: Elymaine 11C4 ,2761,II1 Elima,Elima,"<a href=""sources.html?pars=2&amp;typ=rc#c1""",2,c1,1,1906,TRUE,59905, 11C4,Elymaine,Elymaine,Mais (river),https://tp-online.ku.de/trefferanzeige_en.php?id=1906,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace2761.html,https://pleiades.stoa.org/places/59905,22.7268645,73.2520695,0.594818033,-0.026288798,2.1,India Dimirica Evilat,Castorius (Roman),-
39,2,Asia,India Dimirica Evilat,India Dimirica Evilat,1a,1a,1,42,16,Patinnae,1 Patinnae,1445,Patinae,Paтınae. ,R. Talbert: * 11C5 ,2799,II1 Patinnae,Patinnae,"<a href=""sources.html?pars=2&amp;typ=rc#c1""",2,c1,1,1946,TRUE,50192, 11C5,Patinae,Patinae,Paithana,https://tp-online.ku.de/trefferanzeige_en.php?id=1946,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace2799.html,https://pleiades.stoa.org/places/50192,19.468043,75.385416,0.604399258,-0.02479708,2.1,India Dimirica Evilat,Castorius (Roman),-
40,2,Asia,India Dimirica Evilat,India Dimirica Evilat,1a,1a,1,42,16,Nilcinna,1 Nilcinna,,,,,2788,,,,,,,1934,TRUE,50165, 11C4,Nincildae,Nincildae,Nelkynda,https://tp-online.ku.de/trefferanzeige_en.php?id=1934,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace2788.html,https://pleiades.stoa.org/places/50165,9.272624,76.558846,0.592197191,-0.026847539,2.1,India Dimirica Evilat,Castorius (Roman),-
