rc_index_no,rc_book,rc_continent,rc_patria_original,rc_patria,rc_list_number_original,rc_list_number,weber_list_no,pp_page,schnetz_page,rc_toponym,weber_look_up_key,weber_no,tp_name_weber,tp_alt_name_weber,talbert_gridsquare,talbert_id,rc_name_weber,rc_name,rc_uri,rc_page,rc_itinerary,rc_itin_no,ku_id,on_tp,pleiades_id,ku_gridsquare,ku_name_lookup,talbert_name_lookup,pleiades_name_lookup,ku_uri_lookup,talbert_uri_lookup,pleiades_uri_lookup,rep_lat,rep_long,ku_x,ku_y,region_id,region,primary_source,other_sources
1433,3,Africa,Numidia Bizacium,Numidia Bizacium,6b,6b,6,148,39,Gegite,6 Gegite,916,Gegetu,Gegeтu. [ ],R. Talbert: Gegetv 3C4 ,117,III6 Gegite,Gegite,"<a href=""sources.html?pars=3&amp;typ=rc#c6""",3,c6,6,185,TRUE,173059814, 3C4,Gegetu,Gegetv,Gegetu,https://tp-online.ku.de/trefferanzeige_en.php?id=185,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace117.html,https://pleiades.stoa.org/places/173059814,0,0,0.1485982,-0.02394773,3.6,Numidia Bizacium,Castorius (Roman),-
1434,3,Africa,Numidia Bizacium,Numidia Bizacium,6b,6b,6,148,39,Narragara,6 Narragara,1314,Naraggara,Ӈaraggaʀa. xıı.,R. Talbert: * 3C4 ,118,III6 Narragara,Narragara,"<a href=""sources.html?pars=3&amp;typ=rc#c6""",3,c6,6,196,TRUE,315091, 3C4,Naraggara,Naraggara,Naraggara,https://tp-online.ku.de/trefferanzeige_en.php?id=196,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace118.html,https://pleiades.stoa.org/places/315091,36.223438,8.356079,0.15082047,-0.02387603,3.6,Numidia Bizacium,Castorius (Roman),-
1435,3,Africa,Numidia Bizacium,Numidia Bizacium,6b,6b,6,148,39,Molas,6 Molas,76,Ad Molas,Aꝺ molas. vı,R. Talbert: * 3C3 ,114,III6 Molas,Molas,"<a href=""sources.html?pars=3&amp;typ=rc#c6""",3,c6,6,152,TRUE,314852, 3C3,Ad molas,Ad molas,Ad Molas?,https://tp-online.ku.de/trefferanzeige_en.php?id=152,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace114.html,https://pleiades.stoa.org/places/314852,36.117651,7.886012,0.140924988,-0.024526727,3.6,Numidia Bizacium,Castorius (Roman),-
1436,3,Africa,Numidia Bizacium,Numidia Bizacium,6b,6b,6,148,39,Tipassa,6 Tipassa,,,,,112,,,,,,,130,TRUE,305169, 3C3,Tipasa,Tipasa,Tipasa,https://tp-online.ku.de/trefferanzeige_en.php?id=130,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace112.html,https://pleiades.stoa.org/places/305169,36.25,7.75,0.13718467,-0.024309755,3.6,Numidia Bizacium,Castorius (Roman),-
1437,3,Africa,Numidia Bizacium,Numidia Bizacium,6b,6b,6,149,39,Tibili,6 Tibili,1899,Thibili,Tʜıbılı. vıı.,R. Talbert: * 3C3 ,109,III6 Tibili,Tibili,"<a href=""sources.html?pars=3&amp;typ=rc#c6""",3,c6,6,97,TRUE,305165, 3C3,Thibili,Thibili,Thibilis,https://tp-online.ku.de/trefferanzeige_en.php?id=97,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace109.html,https://pleiades.stoa.org/places/305165,36.382567,7.250033,0.13238831,-0.024998973,3.6,Numidia Bizacium,Castorius (Roman),-
1438,3,Africa,Numidia Bizacium,Numidia Bizacium,6b,6b,6,149,39,Iabianon,6 Iabianon,549,Ca(st)ellum Fabatianum,Caﬅellum. Fabaтıanum. xxv.,R. Talbert: Castellvm Fabatianvm 3C1 ,108,III6 Iabianon,Iabianon,"<a href=""sources.html?pars=3&amp;typ=rc#c6""",3,c6,6,87,TRUE,305048, 3C1,Castellum Fabatianum,Castellvm Fabatianvm,Castellum Fabatianum?,https://tp-online.ku.de/trefferanzeige_en.php?id=87,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace108.html,https://pleiades.stoa.org/places/305048,36.283833,6.832552,0.117684876,-0.024372881,3.6,Numidia Bizacium,Castorius (Roman),-
1439,3,Africa,Numidia Bizacium,Numidia Bizacium,6b,6b,6,149,39,Cirta,6 Cirta,626,Cirta colonia,Cırтa colonıa.,R. Talbert: * 2C5 ,43,III6 Cirta,Cirta,"<a href=""sources.html?pars=3&amp;typ=rc#c6""",3,c6,6,2855,TRUE,305064, 2C5,Cirta colonia,Cirta colonia,Cirta/Constantina,https://tp-online.ku.de/trefferanzeige_en.php?id=2855,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace43.html,https://pleiades.stoa.org/places/305064,36.36811467,6.613302667,0.100622287,-0.024033679,3.6,Numidia Bizacium,Castorius (Roman),-
1440,3,Africa,Numidia Bizacium,Numidia Bizacium,6b,6b,6,149,39,Quartelli,6 Quartelli,262,Aquartille,Aquarтılle. vıııı.,R. Talbert: Aqvartille 2C4 ,106,III6 Quartelli,Quartelli,"<a href=""sources.html?pars=3&amp;typ=rc#c6""",3,c6,6,67,TRUE,311079, 2C4,Aquartille,Aqvartille,Aquartillae/Aquartille,https://tp-online.ku.de/trefferanzeige_en.php?id=67,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace106.html,https://pleiades.stoa.org/places/311079,0,0,0.091174285,-0.024698928,3.6,Numidia Bizacium,Castorius (Roman),-
1441,3,Africa,Numidia Bizacium,Numidia Bizacium,6b,6b,6,149,39,Palimam,6 Palimam,,,,,42,,,,,,,2844,TRUE,311070, 2C4,Ad Palmam,Ad Palmam,Ad Palmam,https://tp-online.ku.de/trefferanzeige_en.php?id=2844,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace42.html,https://pleiades.stoa.org/places/311070,0,0,0.093511497,-0.023915778,3.6,Numidia Bizacium,Castorius (Roman),-
1442,3,Africa,Numidia Bizacium,Numidia Bizacium,6b,6b,6,149,39,Villam Cervianam,6 Villam Cervianam,,,,,,,,,,,,0,FALSE,0,0,0,0,0,0,0,0,0,0,,,3.6,Numidia Bizacium,Castorius (Roman),-
1443,3,Africa,Numidia Bizacium,Numidia Bizacium,6b,6b,6,149,39,Lapisede,6 Lapisede,,,,,,,,,,,,0,FALSE,,,,,,,,,,,,,3.6,Numidia Bizacium,Castorius (Roman),-
1444,3,Africa,Numidia Bizacium,Numidia Bizacium,6b,6b,6,149,39,Novale,6 Novale,,,,,,,,,,,,0,FALSE,,,,,,,,,,,,,3.6,Numidia Bizacium,Castorius (Roman),-
1445,3,Africa,Numidia Bizacium,Numidia Bizacium,6b,6b,6,149,39,Berrice,6 Berrice,,,,,,,,,,,,0,FALSE,,,,,,,,,,,,,3.6,Numidia Bizacium,Castorius (Roman),-
1446,3,Africa,Numidia Bizacium,Numidia Bizacium,6b,6b,6,149,39,Chulchul,6 Chulchul,,,,,90,,,,,,,3360,TRUE,305068, 1C4,Culchul Colonia,Cvlchvl Colonia,Cuicul,https://tp-online.ku.de/trefferanzeige_en.php?id=3360,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace90.html,https://pleiades.stoa.org/places/305068,36.3176905,5.73668362,0.038076206,-0.023896075,3.6,Numidia Bizacium,Castorius (Roman),-
1447,3,Africa,Numidia Bizacium,Numidia Bizacium,6b,6b,6,149,39,Cornon,6 Cornon,,,,,,,,,,,,0,FALSE,,,,,,,,,,,,,3.6,Numidia Bizacium,Castorius (Roman),-
1448,3,Africa,Numidia Bizacium,Numidia Bizacium,6b,6b,6,149,39,Baccaras,6 Baccaras,,,,,,,,,,,,0,FALSE,,,,,,,,,,,,,3.6,Numidia Bizacium,Castorius (Roman),-
1449,3,Africa,Numidia Bizacium,Numidia Bizacium,6b,6b,6,149,39,Melebo colonia,6 Melebo colonia,1277,Mileu colonia,Μılev. Colonıa.,R. Talbert: Milev Colonia 2C3 ,104,III6 Melebo colonia,Melebo colonia,"<a href=""sources.html?pars=3&amp;typ=rc#c6""",3,c6,6,47,TRUE,305109, 2C3,Milev Colonia,Milev Colonia,Milev,https://tp-online.ku.de/trefferanzeige_en.php?id=47,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace104.html,https://pleiades.stoa.org/places/305109,36.4512765,6.267698,0.080682587,-0.023874788,3.6,Numidia Bizacium,Castorius (Roman),-
1450,3,Africa,Numidia Bizacium,Numidia Bizacium,6b,6b,6,149,39,Solbeama,6 Solbeama,1662,Salviana,Saluıana. [ ],R. Talbert: * 2C2 ,3515,III6 Solbeama,Solbeama,"<a href=""sources.html?pars=3&amp;typ=rc#c6""",3,c6,6,2727,TRUE,311138, 2C2,Saluiana,Salviana,Salviana,https://tp-online.ku.de/trefferanzeige_en.php?id=2727,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace3515.html,https://pleiades.stoa.org/places/311138,0,0,0.068463727,-0.025207038,3.6,Numidia Bizacium,Castorius (Roman),-
1451,3,Africa,Numidia Bizacium,Numidia Bizacium,6b,6b,6,149,39,Budaxicara,6 Budaxicara,477,Buduxi,Buduxı. v.,R. Talbert: Bvdvxi 2C4 ,3518,III6 Budaxicara,Budaxicara,"<a href=""sources.html?pars=3&amp;typ=rc#c6""",3,c6,6,2730,TRUE,311084, 2C4,Buduxi,Bvdvxi,Buduxi,https://tp-online.ku.de/trefferanzeige_en.php?id=2730,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace3518.html,https://pleiades.stoa.org/places/311084,0,0,0.089518024,-0.025566004,3.6,Numidia Bizacium,Castorius (Roman),-
1452,3,Africa,Numidia Bizacium,Numidia Bizacium,6b,6b,6,149,39,Thenebestre,6 Thenebestre,1890,Thenebre(st)e,Tʜenebʀeﬅe. vı.,R. Talbert: Thenebreste 2C5 ,3521,III6 Thenebestre,Thenebestre,"<a href=""sources.html?pars=3&amp;typ=rc#c6""",3,c6,6,2734,TRUE,305164, 2C5,Thenebreste,Thenebreste,Thenebreste?,https://tp-online.ku.de/trefferanzeige_en.php?id=2734,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace3521.html,https://pleiades.stoa.org/places/305164,36.01476,6.2743965,0.105481897,-0.025526364,3.6,Numidia Bizacium,Castorius (Roman),-
1453,3,Africa,Numidia Bizacium,Numidia Bizacium,6b,6b,6,149,39,Centenarias,6 Centenarias,33,Ad Centenari(um),Aꝺ cenтenarıū. vı.,R. Talbert: Adcentenarīō 3C1 ,3522,III6 Centenarias,Centenarias,"<a href=""sources.html?pars=3&amp;typ=rc#c6""",3,c6,6,2735,TRUE,311065, 3C1,Ad centario / Ad Centenarium,Adcentenarīō,Ad Centenarium/Kentouriai,https://tp-online.ku.de/trefferanzeige_en.php?id=2735,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace3522.html,https://pleiades.stoa.org/places/311065,0,0,0.112617421,-0.025551069,3.6,Numidia Bizacium,Castorius (Roman),-
1454,3,Africa,Numidia Bizacium,Numidia Bizacium,6b,6b,6,149,39,Gausaparas,6 Gausaparas,913,Gasaupala,Gaſavpala. vı.,R. Talbert: Gasavpala 3C2 ,3524,III6 Gausaparas,Gausaparas,"<a href=""sources.html?pars=3&amp;typ=rc#c6""",3,c6,6,2737,TRUE,305082, 3C2,Gasavpala (Gasaupala),Gasavpala,Gadiaufala,https://tp-online.ku.de/trefferanzeige_en.php?id=2737,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace3524.html,https://pleiades.stoa.org/places/305082,36.081671,7.258862,0.121485932,-0.025570179,3.6,Numidia Bizacium,Castorius (Roman),-
1455,3,Africa,Numidia Bizacium,Numidia Bizacium,6b,6b,6,149,39,Piscinas,6 Piscinas,,,,,0,,,,,,,,TRUE,#N/A,,,,,,,,,,,,3.6,Numidia Bizacium,Castorius (Roman),-
1456,3,Africa,Numidia Bizacium,Numidia Bizacium,6b,6b,6,150,39,Fuscinas,6 Fuscinas,,,,,102,,,,,,,25,TRUE,311129, 2C1,Nodas Fusciani,Nobas Fvsciani,Novas Fusciani/Noas Fusciani,https://tp-online.ku.de/trefferanzeige_en.php?id=25,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace102.html,https://pleiades.stoa.org/places/311129,0,0,0.06399947,-0.024333197,3.6,Numidia Bizacium,Castorius (Roman),-
1457,3,Africa,Numidia Bizacium,Numidia Bizacium,6b,6b,6,150,39,Falavi Marci,6 Falavi Marci,841,Flavia Marci,Flauıa maʀcı. .xx.,R. Talbert: * 3C4 ,3536,III6 Falavi Marci,Falavi Marci,"<a href=""sources.html?pars=3&amp;typ=rc#c6""",3,c6,6,2750,TRUE,334586, 3C4,flauia marci (flavia marci),Flavia marci,Marcimeni?,https://tp-online.ku.de/trefferanzeige_en.php?id=2750,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace3536.html,https://pleiades.stoa.org/places/334586,35.796796,7.3928,0.145127918,-0.026391135,3.6,Numidia Bizacium,Castorius (Roman),-
1458,3,Africa,Numidia Bizacium,Numidia Bizacium,6b,6b,6,150,39,Thugursicus,6 Thugursicus,,,,,,,,,,,,0,FALSE,,,,,,,,,,,,,3.6,Numidia Bizacium,Castorius (Roman),-
1459,3,Africa,Numidia Bizacium,Numidia Bizacium,6b,6b,6,150,39,Altuburus,6 Altuburus,181,Altuburos,Alтuburos. xvı. | xvı.,R. Talbert: Altvbvros 4C1 ,184,III6 Altuburus,Altuburus,"<a href=""sources.html?pars=3&amp;typ=rc#c6""",3,c6,6,916,TRUE,324664, 4C1,Altuburos,Altvbvros,Althiburos,https://tp-online.ku.de/trefferanzeige_en.php?id=916,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace184.html,https://pleiades.stoa.org/places/324664,35.8736831,8.786164031,0.172663203,-0.027038362,3.6,Numidia Bizacium,Castorius (Roman),-
1460,3,Africa,Numidia Bizacium,Numidia Bizacium,6b,6b,6,150,39,Mucea,6 Mucea,1304,Mutia,Μuтıa. xvı. | [ ],R. Talbert: Mvtia 4C1 ,183,III6 Mucea,Mucea,"<a href=""sources.html?pars=3&amp;typ=rc#c6""",3,c6,6,905,TRUE,324788, 4C1,Mutia,Mvtia,Mutia?,https://tp-online.ku.de/trefferanzeige_en.php?id=905,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace183.html,https://pleiades.stoa.org/places/324788,35.697392,8.562379,0.17063145,-0.026859791,3.6,Numidia Bizacium,Castorius (Roman),-
1461,3,Africa,Numidia Bizacium,Numidia Bizacium,6b,6b,6,150,39,Sufulus,6 Sufulus,,,,,,,,,,,,0,FALSE,,,,,,,,,,,,,3.6,Numidia Bizacium,Castorius (Roman),-
1462,3,Africa,Numidia Bizacium,Numidia Bizacium,6b,6b,6,150,39,Praesidin,6 Praesidin,1539,Presidi Diolele,Pʀeſıꝺı ꝺıolele. xvııı.,R. Talbert: Presididiolele 4C1 ,220,III6 Praesidin,Praesidin,"<a href=""sources.html?pars=3&amp;typ=rc#c6""",3,c6,6,1305,TRUE,276774947, 4C1,Praesidi Diolele,Presididiolele,Presididiolele,https://tp-online.ku.de/trefferanzeige_en.php?id=1305,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace220.html,https://pleiades.stoa.org/places/276774947,0,0,0.174501934,-0.02798161,3.6,Numidia Bizacium,Castorius (Roman),-
1463,3,Africa,Numidia Bizacium,Numidia Bizacium,6b,6b,6,150,39,Midias,6 Midias,73,Ad Medias,Aꝺ Μeꝺıas. xxvııı.,R. Talbert: * 3C4 ,212,III6 Midias,Midias,"<a href=""sources.html?pars=3&amp;typ=rc#c6""",3,c6,6,1218,TRUE,334476, 3C4,Ad Medias,Ad Medias,Ad Medias,https://tp-online.ku.de/trefferanzeige_en.php?id=1218,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace212.html,https://pleiades.stoa.org/places/334476,34.5,7.5,0.145378307,-0.027694113,3.6,Numidia Bizacium,Castorius (Roman),-
1464,3,Africa,Numidia Bizacium,Numidia Bizacium,6b,6b,6,150,39,Pissinas,6 Pissinas,98,Ad Piscinam,Aꝺ pıſcınam. xxxııı.,R. Talbert: * 3C2 ,208,III6 Pissinas,Pissinas,"<a href=""sources.html?pars=3&amp;typ=rc#c6""",3,c6,6,1175,TRUE,334477, 3C2,Ad piscinam,Ad piscinam,Ad Piscinam?,https://tp-online.ku.de/trefferanzeige_en.php?id=1175,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace208.html,https://pleiades.stoa.org/places/334477,34.821914,5.828633,0.12275719,-0.027328618,3.6,Numidia Bizacium,Castorius (Roman),-
1465,3,Africa,Numidia Bizacium,Numidia Bizacium,6b,6b,6,150,39,Messafilta,6 Messafilta,1259,Mesar filia,Μeſaʀ. Fılıa. xvıııı.,R. Talbert: * 3C1 ,207,III6 Messafilta,Messafilta,"<a href=""sources.html?pars=3&amp;typ=rc#c6""",3,c6,6,1164,TRUE,334592, 3C1,Mesar filia,Mesar filia,Mesarfelta,https://tp-online.ku.de/trefferanzeige_en.php?id=1164,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace207.html,https://pleiades.stoa.org/places/334592,35.036204,5.592835,0.11681126,-0.027367667,3.6,Numidia Bizacium,Castorius (Roman),-
1466,3,Africa,Numidia Bizacium,Numidia Bizacium,6b,6b,6,150,39,Duo flumina,6 Duo flumina,46,Ad Duo Flumina,Aꝺ duo Flumına. vıııı.,R. Talbert: Ad dvo flvmina 2C5 ,202,III6 Duo flumina,Duo flumina,"<a href=""sources.html?pars=3&amp;typ=rc#c6""",3,c6,6,1113,TRUE,334474, 2C5,Ad duo flumina,Ad dvo flvmina,Ad Duo Flumina?,https://tp-online.ku.de/trefferanzeige_en.php?id=1113,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace202.html,https://pleiades.stoa.org/places/334474,35.232402,5.937906,0.098475539,-0.027469324,3.6,Numidia Bizacium,Castorius (Roman),-
1467,3,Africa,Numidia Bizacium,Numidia Bizacium,6b,6b,6,150,39,Sumachi,6 Sumachi,1807,Symmachi,Sẏmmachı. vıııı.,R. Talbert: * 2C4 ,201,III6 Sumachi,Sumachi,"<a href=""sources.html?pars=3&amp;typ=rc#c6""",3,c6,6,1102,TRUE,334479, 2C4,Symmachi,Symmachi,Ad Symmachi?,https://tp-online.ku.de/trefferanzeige_en.php?id=1102,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace201.html,https://pleiades.stoa.org/places/334479,35.233353,6.166658,0.088071611,-0.027526484,3.6,Numidia Bizacium,Castorius (Roman),-
1468,3,Africa,Numidia Bizacium,Numidia Bizacium,6b,6b,6,150,39,Lambresae,6 Lambresae,1107,Lambese,Laмʙese. xvııı. | [ ],R. Talbert: * 2C2 ,169,III6 Lambresae,Lambresae,"<a href=""sources.html?pars=3&amp;typ=rc#c6""",3,c6,6,752,TRUE,334570, 2C2,Lambese,Lambese,Lambaesis,https://tp-online.ku.de/trefferanzeige_en.php?id=752,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace169.html,https://pleiades.stoa.org/places/334570,35.48966423,6.254841051,0.070271813,-0.026752969,3.6,Numidia Bizacium,Castorius (Roman),-
1469,3,Africa,Numidia Bizacium,Numidia Bizacium,6b,6b,6,150,39,Lambridin,6 Lambridin,1108,Lambiridi,Lambırıdı. [ ],R. Talbert: * 2C1 ,168,III6 Lambridin,Lambridin,"<a href=""sources.html?pars=3&amp;typ=rc#c6""",3,c6,6,743,TRUE,334572, 2C1,Lambiridi,Lambiridi,Lambiridi,https://tp-online.ku.de/trefferanzeige_en.php?id=743,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace168.html,https://pleiades.stoa.org/places/334572,35.503767,6.077305,0.060721034,-0.02711978,3.6,Numidia Bizacium,Castorius (Roman),-
1470,3,Africa,Numidia Bizacium,Numidia Bizacium,6b,6b,6,150,39,Tamasgua,6 Tamasgua,1102,Lamasbua,Lamaſb|ua. ,R. Talbert: Lamasbva 1C5 ,167,III6 Tamasgua,Tamasgua,"<a href=""sources.html?pars=3&amp;typ=rc#c6""",3,c6,6,732,TRUE,334569, 1C5,Lamasbua,Lamasbva,Lamasba,https://tp-online.ku.de/trefferanzeige_en.php?id=732,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace167.html,https://pleiades.stoa.org/places/334569,35.6283625,5.91058,0.053592778,-0.026906481,3.6,Numidia Bizacium,Castorius (Roman),-
1471,3,Africa,Numidia Bizacium,Numidia Bizacium,6b,6b,6,150,39,Orgentarium,6 Orgentarium,34,Ad Centenarium,Aꝺ cenтenarıum. xv. | x,R. Talbert: Adcentenarivm 1C5 ,160,III6 Orgentarium,Orgentarium,"<a href=""sources.html?pars=3&amp;typ=rc#c6""",3,c6,6,655,TRUE,338244, 1C5,Ad Centenarium,Adcentenarivm,Ad Centenarium/Kentouriai,https://tp-online.ku.de/trefferanzeige_en.php?id=655,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace160.html,https://pleiades.stoa.org/places/338244,0,0,0.045755538,-0.026438354,3.6,Numidia Bizacium,Castorius (Roman),-
1472,3,Africa,Numidia Bizacium,Numidia Bizacium,6c,6c,6,151,39,Lambafudin,6 Lambafudin,1106,Lambafudi,Lambafuꝺı. v.,R. Talbert: Lambafvdi 2C3 ,170,III6 Lambafudin,Lambafudin,"<a href=""sources.html?pars=3&amp;typ=rc#c6""",3,c6,6,763,TRUE,334571, 2C3,Lambafudi,Lambafvdi,Lambafundi,https://tp-online.ku.de/trefferanzeige_en.php?id=763,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace170.html,https://pleiades.stoa.org/places/334571,35.481197,6.465983,0.080801546,-0.026606394,3.6,Numidia Bizacium,Castorius (Roman),-
1473,3,Africa,Numidia Bizacium,Numidia Bizacium,6c,6c,6,151,39,Libiana,6 Libiana,1164,Liviana,Lıuıana. xvııı.,R. Talbert: * 2C5 ,173,III6 Libiana,Libiana,"<a href=""sources.html?pars=3&amp;typ=rc#c6""",3,c6,6,796,TRUE,338274, 2C5,Liuiana,Liviana,Liviana,https://tp-online.ku.de/trefferanzeige_en.php?id=796,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace173.html,https://pleiades.stoa.org/places/338274,0,0,0.10004879,-0.02685539,3.6,Numidia Bizacium,Castorius (Roman),-
1474,3,Africa,Numidia Bizacium,Numidia Bizacium,6c,6c,6,151,39,Vico Aureli,6 Vico Aureli,2028,Vico Aureli,vıco aurelı. xıııı.,R. Talbert: Vico Avreli 2C5 ,166,III6 Vico Aureli,Vico Aureli,"<a href=""sources.html?pars=3&amp;typ=rc#c6""",3,c6,6,721,TRUE,338302, 2C5,Vicus Aureli,Vico Avreli,Vicus Aureli,https://tp-online.ku.de/trefferanzeige_en.php?id=721,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace166.html,https://pleiades.stoa.org/places/338302,0,0,0.105685938,-0.026881214,3.6,Numidia Bizacium,Castorius (Roman),-
1475,3,Africa,Numidia Bizacium,Numidia Bizacium,6c,6c,6,151,39,Germani,6 Germani,58,Ad Germani,Aꝺ germanı. x.,R. Talbert: * 3C2 ,176,III6 Germani,Germani,"<a href=""sources.html?pars=3&amp;typ=rc#c6""",3,c6,6,829,TRUE,311128, 3C2,Ad germani,Ad germani,Nova Germaniae/Germanii/Germaniciana,https://tp-online.ku.de/trefferanzeige_en.php?id=829,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace176.html,https://pleiades.stoa.org/places/311128,0,0,0.127982645,-0.026759751,3.6,Numidia Bizacium,Castorius (Roman),-
1476,3,Africa,Numidia Bizacium,Numidia Bizacium,6c,6c,6,151,39,Thebesthe,6 Thebesthe,1897,Theve(st)e,Tʜeueﬅe,R. Talbert: Theveste 3C5 ,180,III6 Thebesthe,Thebesthe,"<a href=""sources.html?pars=3&amp;typ=rc#c6""",3,c6,6,873,TRUE,324831, 3C5,Theveste,Theveste,Theveste,https://tp-online.ku.de/trefferanzeige_en.php?id=873,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace180.html,https://pleiades.stoa.org/places/324831,35.404174,8.1223145,0.158401661,-0.026713908,3.6,Numidia Bizacium,Castorius (Roman),-
1477,3,Africa,Numidia Bizacium,Numidia Bizacium,6d,6d,6,151,39,Thuraria,6 Thuraria,1913,Thuraria,Thurarıa. xv,R. Talbert: Thvraria 4C4 ,78,III6 Thuraria,Thuraria,"<a href=""sources.html?pars=3&amp;typ=rc#c6""",3,c6,6,3229,TRUE,315227, 4C4,Thuraria,Thvraria,Thuraria,https://tp-online.ku.de/trefferanzeige_en.php?id=3229,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace78.html,https://pleiades.stoa.org/places/315227,36.834925,9.940136,0.208643849,-0.024417835,3.6,Numidia Bizacium,Castorius (Roman),-
1478,3,Africa,Numidia Bizacium,Numidia Bizacium,6d,6d,6,151,39,Thoburbi minus,6 Thoburbi minus,1910,Thuburbi minus,Tʜuburbımınuſ. ııı.,R. Talbert: Thvbvrbiminvs 4C4 ,77,III6 Thoburbi minus,Thoburbi minus,"<a href=""sources.html?pars=3&amp;typ=rc#c6""",3,c6,6,3218,TRUE,315219, 4C4,Thuburbiminus,Thvbvrbiminvs,Thuburbo Minus,https://tp-online.ku.de/trefferanzeige_en.php?id=3218,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace77.html,https://pleiades.stoa.org/places/315219,36.829599,9.838642,0.203690333,-0.024556955,3.6,Numidia Bizacium,Castorius (Roman),-
1479,3,Africa,Numidia Bizacium,Numidia Bizacium,6d,6d,6,151,39,Chulcar,6 Chulcar,645,Clucar,Clucaʀ. xvı.,R. Talbert: Clvcar 4C4 ,76,III6 Chulcar,Chulcar,"<a href=""sources.html?pars=3&amp;typ=rc#c6""",3,c6,6,3207,TRUE,314939, 4C4,Clucar,Clvcar,Cluacar(ia)?,https://tp-online.ku.de/trefferanzeige_en.php?id=3207,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace76.html,https://pleiades.stoa.org/places/314939,36.733324,9.65,0.199770678,-0.02467121,3.6,Numidia Bizacium,Castorius (Roman),-
1480,3,Africa,Numidia Bizacium,Numidia Bizacium,6d,6d,6,151,39,Elefantaria,6 Elefantaria,638,Clefantaria,Clefanтarıa x.,R. Talbert: * 4C3 ,75,III6 Elefantaria,Elefantaria,"<a href=""sources.html?pars=3&amp;typ=rc#c6""",3,c6,6,3196,TRUE,314951, 4C3,Elefantaria / Clefantaria,Clefantaria,Elephantaria?,https://tp-online.ku.de/trefferanzeige_en.php?id=3196,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace75.html,https://pleiades.stoa.org/places/314951,36.645788,9.521908,0.195435895,-0.024546633,3.6,Numidia Bizacium,Castorius (Roman),-
1481,3,Africa,Numidia Bizacium,Numidia Bizacium,6d,6d,6,151,39,Zicella,6 Zicella,1918,Tichilla,Tıcʜılla. xvı. | vıı.,R. Talbert: * 4C3 ,127,III6 Zicella,Zicella,"<a href=""sources.html?pars=3&amp;typ=rc#c6""",3,c6,6,294,TRUE,315228, 4C3,Tichilla,Tichilla,Tichilla,https://tp-online.ku.de/trefferanzeige_en.php?id=294,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace127.html,https://pleiades.stoa.org/places/315228,36.552416,9.444863,0.193450954,-0.02536682,3.6,Numidia Bizacium,Castorius (Roman),-
1482,3,Africa,Numidia Bizacium,Numidia Bizacium,6d,6d,6,151,39,Adviam,6 Adviam,239,Aobia,Aobıa. vı.,R. Talbert: * 4C2 ,125,III6 Adviam,Adviam,"<a href=""sources.html?pars=3&amp;typ=rc#c6""",3,c6,6,272,TRUE,314857, 4C2,Aobia,Aobia,Agbia,https://tp-online.ku.de/trefferanzeige_en.php?id=272,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace125.html,https://pleiades.stoa.org/places/314857,36.3931101,9.2283934,0.188132049,-0.025035945,3.6,Numidia Bizacium,Castorius (Roman),-
