stage,pleiades_id,pleiades_toponym,TP_gridsquare,Talbert_id,ku_id,ku_name_lookup,talbert_name_lookup,TP_symbol,TP_notes,TP_coastal,RC_peri_count,pp_page,schnetz_page,RC_peri_ref,RC_peri,RC itin,gg_ref,GG_peri,GG_itin,representative_latitude,representative_longitude,ku_x,ku_y
1,442498,Barduli,5B4,1281,307,Bardulos,Bardvlos,,,Bardvlos,41,328,84,328.1,Bardulos,Bardulos,71.13,Bardulos quae et Baruldes,Bardulos quae et Barulos,41.319271,16.283979,0.254639086,-0.012099686
1,442833,Turenum,5B4,1282,308,Turenum,Tvrenvm,,,Tvrenvm,42,328,84,328.11,Tirenum,Tirenum,71.14,Tirhennium quae et Trana,Thirrennium quae et Trannis et Interamnem nunc vero Trane dicitur.,41.275544,16.417622,0.258122062,-0.012164306
1,442743,Respa,,,,,,,,,,328,84,,[GG: Melfis],,71.15,Melfis quae et dicta prius Turris,Melfis quae etTurris dicitur,41.205554,16.599335,,
1,442686,Natiolum,5B4,1283,309,Natiolum,Natiolvm,,,Natiolvm,43,328,84,328.12,Naciolum,Natiolum,71.16-17,Natiolum quae nunc Ravennacium vocatur,"Natiolum quae nunc Iunatium vocatur,",41.187539,16.672566,0.260523136,-0.012110517
1,442500,Barium,5B4,1284,310,Barium,Barivm,,,Barivm,44,328,84,328.13,Barium,Barium,71.18,Sibaris id est Baris,"Sibaris, quae nunc Baris dicitur",41.129222,16.870331,0.263317976,-0.012143297
1,442515,Caelia,,,0,,,,,,,328,84,,[GG: Cecilia oppidum],,71.19,Cecilia oppidum,Celia oppidum,41.0640832,16.86947645,,
1,,,,,0,,,,,,,328,84,,[GG: Moles],,71.2,Moles,Moles,0,0,,
1,442834,Turris Caesaris,5B5,1285,311,Turris cesaris (Turris Cesaris),Tvrris cesaris,,,Tvrris cesaris,45,329,84,329.1,Turris Caesaris,Turris Caesaris,71.21-22,Turris Cesaris quae nunc Polimanum,Turris Caesaris...iuxta portum veroparva Polinianum,40.9906174,17.21907555,0.266188246,-0.011993609
1,442566,Diria?,5B5,1286,312,Dertum,Dertvm,,,Dertvm,46,329,84,329.2,Dixium,Diriam,71.23,Barium quae et Monopolis,"Dirium, quae nunc Monopolis",40.95484,17.2949039,0.269029765,-0.012035045
1,442573,Egnatia/Gnathia,5B5,1287,313,Gnatie,Gnatie,yes,,Gnatie,47,329,84,329.3,Ignatiae,Gnatia,71.24,Augnatium,Augnatium,40.88698044,17.3898455,0.271208504,-0.012362658
1,442447,Ad Speluncas,5B5,1374,408,Spelunis,Spelvnis,,,Spelvnis,48,329,84,329.4,Speluncas,Speluncas,71.25,Spelunca,Speluncae,40.756506,17.703709,0.273552188,-0.012468309
1,442790,Scamnum?,,,0,,,,NB Scamnum is inland on TP,,,329,84,,[GG: Saunium],,71.26,Saunium,Saunium,40.54232791,17.74227384,,
1,442509,Brundisium/Brentesion,6B1,1375,409,Brindisi,Brindisi,yes,,Brindisi,49,329,84,329.5,Brindice,Brendesium,72.3,Brundisium [switched],Brundusium [switched],40.638663,17.9429115,0.276177892,-0.01270843
1,442845,Valetium/Balesium,6B1,1376,410,Balentium,Balentivm,,,Balentivm,50,329,84,329.6,Baletium,Baletium,72.4,Valetum vel Valentium quae et Carpinium [switched],Valentium quae et Carbinium [switched],40.512187,18.034033,0.278824533,-0.012383898
1,442642,Lupia(e),6B1,1383,418,Luppia,Lvppia,,,Lvppia,51,329,84,329.7,Lupias,Lupia,72.5,Liccia,urbs Lictia,40.352152,18.172425,0.281588088,-0.012161652
1,442753,Rudiae,,,0,,,,,,,329,84,,[GG: Ruge],,,Ruge,Ruge,40.333792,18.147292,,
1,442615,Hydruntum/Hydrous,6A1,1384,419,Ydrunte,Ydrvnte,yes,,Ydrvnte,52,329,84,329.8,Ydrontum,Ydrontum,72.6,Ydrontus,Ydrontus,40.1458515,18.4910835,0.285045179,-0.011939786
1,442536,Castrum Minervae/Athenaion/Limen Aphrodites,6A2,1385,420,Castra Mineruae (Castra Minervae),Castra Minerv(a)e,yes,end of PT coastline,Castra Minerv(a)e,53,329,84,329.9,Minervium,Minervium,72.7,Minervum,Minervum,40.00431427,18.42820308,0.289149371,-0.011993786
1,442848,Veretum/Baris,6B2,1391,426,Veretum,Veretvm,,,Veretvm,54,329,84,329.1,Veretum,Beretum,72.8,Beretos quae nunc Leuca,Beretos quae nunc Leuca,40.003734,18.23947086,0.290465366,-0.01316078
1,442841,Uzentum/Ouxenton,6B2,1390,425,Vzintum (Uzintum),Vzintvm,,,Vzintvm,,329,84,,[GG: Yentos],Mirtum,72.9,Yentos quae nunc Augentum,Yentos quae imnc Augentum,39.926319,18.157428,0.288457096,-0.013087048
1,442495,(B)Aletium,6B2,1389,423,Baletium,Baletivm,,,Baletivm,55,329,84,329.11,Baletium,Baletium,72.1,Valentium,Valentium,40.062362,18.059097,0.286514417,-0.013046819
1,442688,Neretum,6B1,1388,422,Neretum,Neretvm,,,Neretvm,56,329,84,329.12,Neretum,Neretum,72.11,Lubias ubi nunc est Calipolis,Lubias ubi nunc est Calipolis,40.175928,18.030423,0.284669659,-0.013285285
1,442644,Manduria,6B1,1387,421,Manduris,Mandvris,,,Mandvris,57,329,84,329.13,Manduris,Manduris,72.12,Amandrinum,,40.397704,17.636381,0.282457104,-0.013595526
1,442789,Satyrion/Saturum,,,,,,,,,,329,84,,[GG: Saturum],,72.13,Saturum,Saturum,40.37185554,17.3063011,,
1,442656,Mesochorum,,1379,413,Mesochoro,Mesochoro,,NB Mesochoro is inland on TP,,,329,84,,[GG: Mesochorus],Mesochorus [switched],72.14,Mesochorus,Mesochorus [switched],40.4880695,17.4387855,0.277884189,-0.014437088
1,442810,Taras/Tarentum/Neptunia,6B1,1380,415,Tarento,Tarento,yes,,Tarento,58,330,84,330.1,Tarentum,Tarentum [switched],72.15,Tarentum,Tarentum [switched],40.4737866,17.2330416,0.279461783,-0.014245373
1,442658,Metapontum,,,0,,,,,,59,330,84,330.2,Metapontum,Metapontum,72.16,Metapontus,Metapontus,40.38341481,16.82460005,,
1,452333,Herakleia,6B1,1415,452,Heraclea,Heraclea,,,Heraclea,60,330,84,330.3,Eraclia,Heraclea,,,Heraclea,40.21972967,16.67039787,0.282917188,-0.015266513
1,452442,Semnum,6B1,1416,453,Semnum,Semnvm,,,Semnvm,,330,84,,[GG: Senasum],Scinasium,72.17,Senasum,Senasum,40.170861,16.635885,0.284477429,-0.015332019
1,452457,Sybaris/Thurii/Copia,6B2,1417,454,Turis,Tvris,,,Tvris,,330,84,,[GG: Turris],Turris,72.18,Turris,Turris,39.71732767,16.49426235,0.285448325,-0.01543071
1,452403,Petelia,6B2,1418,455,Petelia,Petelia,,,Petelia,,330,84,,[GG: Pellia],Pelia,72.19,Pellia,Pellia,39.266064,17.05108,0.287548894,-0.015195084
